"contrast","cohort","outcome","estimand","estimator","cr_est","cr_ci_lo","cr_ci_hi","cr_n","main_est","main_ci_lo","main_ci_hi","main_se","main_n","abs_diff","verdict","reason"
"C3","known transport (8,323)","gose","ATT among outcome-observed","TMLE, complete case",NA,NA,NA,NA,-0.3189,-0.445,-0.1928,0.0643,6538,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C3","known transport (8,323)","gose","matched ATT","1:1 caliper matching, no replacement",NA,NA,NA,NA,-0.385,-0.5378,-0.2276,NA,NA,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C3","known transport (8,323)","gose","trimmed ATE (g in [0.05, 0.95])","TMLE, IPCW via Delta",NA,NA,NA,NA,-0.308,-0.4206,-0.1954,0.0575,6305,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C3","known transport (8,323)","gose_favorable","ATE","TMLE, IPCW via Delta",NA,NA,NA,NA,-0.0398,-0.0595,-0.02,0.0101,6538,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C3","known transport (8,323)","gose_favorable","ATO","Hajek overlap weights, percentile bootstrap",NA,NA,NA,NA,-0.0358,-0.0573,-0.0152,0.0105,6538,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C3","known transport (8,323)","gose_favorable","ATT among outcome-observed","TMLE, complete case",NA,NA,NA,NA,-0.0314,-0.0532,-0.0096,0.0111,6538,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C3","known transport (8,323)","gose_favorable","matched ATT","1:1 caliper matching, no replacement",NA,NA,NA,NA,-0.0405,-0.0663,-0.0125,NA,NA,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C3","known transport (8,323)","gose_favorable","trimmed ATE (g in [0.05, 0.95])","TMLE, IPCW via Delta",NA,NA,NA,NA,-0.0385,-0.0587,-0.0183,0.0103,6305,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C3","known transport (8,323)","severe_disability","ATE","TMLE, IPCW via Delta",NA,NA,NA,NA,0.0404,0.0201,0.0606,0.0103,6538,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C3","known transport (8,323)","severe_disability","ATO","Hajek overlap weights, percentile bootstrap",NA,NA,NA,NA,0.0358,0.0148,0.0571,0.0108,6538,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C3","known transport (8,323)","severe_disability","ATT among outcome-observed","TMLE, complete case",NA,NA,NA,NA,0.0315,0.0097,0.0533,0.0111,6538,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C3","known transport (8,323)","severe_disability","matched ATT","1:1 caliper matching, no replacement",NA,NA,NA,NA,0.0405,0.014,0.0686,NA,NA,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C3","known transport (8,323)","severe_disability","trimmed ATE (g in [0.05, 0.95])","TMLE, IPCW via Delta",NA,NA,NA,NA,0.0382,0.0182,0.0582,0.0102,6305,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C3","known transport (8,323)","time_arrival_to_intervention","ATE","TMLE, complete case",NA,NA,NA,NA,-18.9359,-47.0162,9.1445,14.3267,6309,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C3","known transport (8,323)","time_arrival_to_intervention","ATO","Hajek overlap weights, percentile bootstrap",NA,NA,NA,NA,-25.4528,-55.7004,0.2486,14.576,6309,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C3","known transport (8,323)","time_arrival_to_intervention","ATT among outcome-observed","TMLE, complete case",NA,NA,NA,NA,-36.9097,-75.8211,2.0018,19.8528,6309,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C3","known transport (8,323)","time_arrival_to_intervention","matched ATT","1:1 caliper matching, no replacement",NA,NA,NA,NA,-15.4939,-52.9705,16.0436,NA,NA,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C3","known transport (8,323)","time_arrival_to_intervention","trimmed ATE (g in [0.05, 0.95])","TMLE, complete case",NA,NA,NA,NA,-20.1376,-47.7702,7.4951,14.0983,6075,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C3","known transport (8,323)","time_to_arrival","ATE","TMLE, complete case",NA,NA,NA,NA,-227.5892,-298.1176,-157.0609,35.9839,8162,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C3","known transport (8,323)","time_to_arrival","ATO","Hajek overlap weights, percentile bootstrap",NA,NA,NA,NA,-254.4923,-326.2567,-177.9293,38.359,8162,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C3","known transport (8,323)","time_to_arrival","ATT among outcome-observed","TMLE, complete case",NA,NA,NA,NA,-267.8131,-359.0471,-176.579,46.548,8162,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C3","known transport (8,323)","time_to_arrival","matched ATT","1:1 caliper matching, no replacement",NA,NA,NA,NA,-218.9409,-318.4879,-127.4848,NA,NA,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C3","known transport (8,323)","time_to_arrival","trimmed ATE (g in [0.05, 0.95])","TMLE, complete case",NA,NA,NA,NA,-256.4244,-330.1972,-182.6517,37.6392,7857,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C3","known transport (8,323)","time_to_def_intervention","ATE","TMLE, complete case",NA,NA,NA,NA,-247.8586,-328.0057,-167.7115,40.8914,6371,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C3","known transport (8,323)","time_to_def_intervention","ATO","Hajek overlap weights, percentile bootstrap",NA,NA,NA,NA,-268.2694,-353.1198,-178.8293,44.4891,6371,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C3","known transport (8,323)","time_to_def_intervention","ATT among outcome-observed","TMLE, complete case",NA,NA,NA,NA,-377.5642,-490.3311,-264.7974,57.5341,6371,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C3","known transport (8,323)","time_to_def_intervention","matched ATT","1:1 caliper matching, no replacement",NA,NA,NA,NA,-284.3276,-412.5232,-162.9045,NA,NA,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C3","known transport (8,323)","time_to_def_intervention","trimmed ATE (g in [0.05, 0.95])","TMLE, complete case",NA,NA,NA,NA,-257.7233,-338.701,-176.7456,41.3152,6140,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C3","known transport (8,323)","transferred_out","ATE","TMLE, complete case",NA,NA,NA,NA,0.013,0.0019,0.0241,0.0057,8301,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C3","known transport (8,323)","transferred_out","ATO","Hajek overlap weights, percentile bootstrap",NA,NA,NA,NA,0.0129,9e-04,0.0241,0.006,8301,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C3","known transport (8,323)","transferred_out","ATT among outcome-observed","TMLE, complete case",NA,NA,NA,NA,0.007,-0.0078,0.0217,0.0075,8301,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C3","known transport (8,323)","transferred_out","matched ATT","1:1 caliper matching, no replacement",NA,NA,NA,NA,0.014,0.0019,0.0271,NA,NA,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C3","known transport (8,323)","transferred_out","trimmed ATE (g in [0.05, 0.95])","TMLE, complete case",NA,NA,NA,NA,0.0115,2e-04,0.0228,0.0058,7988,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C3","known transport (8,323)","transferred_out_higher_care","ATE","TMLE, complete case",NA,NA,NA,NA,0.011,8e-04,0.0212,0.0052,8301,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C3","known transport (8,323)","transferred_out_higher_care","ATO","Hajek overlap weights, percentile bootstrap",NA,NA,NA,NA,0.0089,-0.0013,0.0197,0.0055,8301,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C3","known transport (8,323)","transferred_out_higher_care","ATT among outcome-observed","TMLE, complete case",NA,NA,NA,NA,0.0028,-0.0105,0.0161,0.0068,8301,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C3","known transport (8,323)","transferred_out_higher_care","matched ATT","1:1 caliper matching, no replacement",NA,NA,NA,NA,0.0092,-0.0024,0.0198,NA,NA,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C3","known transport (8,323)","transferred_out_higher_care","trimmed ATE (g in [0.05, 0.95])","TMLE, complete case",NA,NA,NA,NA,0.0087,-0.0016,0.0191,0.0053,7988,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
